danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,artist_name,lyrics
0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,audio_features,6RUKPb4LETWmmr3iAEQktW,spotify:track:6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,247160,4,EDM,Something Just Like This,The Chainsmokers,"I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spiderman's control
And Batman with his fists
And clearly I don't see myself upon that list

But she said, ""Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this""

Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo

Oh, I want something just like this
I want something just like this

I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind of person that it fits

She said, ""Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can miss
I want something just like this
I want something just like this""

Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo

Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this

Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this"
0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,audio_features,4QNpBfC0zvjKqPJcyqBy9W,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/tracks/4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/audio-analysis/4QNpBfC0zvjKqPJcyqBy9W,252307,4,EDM,Give Me Everything (feat. Nayer),Pitbull,"[Pitbull - Intro:]
Me not working hard?
Yeah, right! Picture that with a Kodak
Or, better yet, go to Times Square
Take a picture of me with a Kodak
Took my life from negative to positive
I just want y'all know that
And tonight, let's enjoy life
Pitbull, Nayer, Ne-Yo
That's right

[Chorus:]
[Ne-Yo]
Tonight I want all of you tonight
Give me everything tonight
For all we know we might not get tomorrow
Let's do it tonight

[Nayer]
Don't care what they say
Or what games they play
Nothing is enough
'Til I have your love

[Ne-Yo]
Let's do it tonight

[Nayer]
I want you tonight,
I want you to stay
I want you tonight

[Ne-Yo]
Grab somebody sexy, tell 'em hey
Give me everything tonight
Give me everything tonight
Give me everything tonight
Give me everything tonight

[Verse 1 â€” Pitbull:]
Take advantage of tonight
Cause tomorrow I'm off to Dubai to perform for a princess
But tonight, I can make you my queen
And make love to you endless
This is insane: the way the name growin'
Money keep flowin'
Hustlers move aside
So, I'm tiptoein', to keep flowin'
I got it locked up like Lindsay Lohan

Put it on my life, baby,
I make you feel right, baby
Can't promise tomorrow
But, I promise tonight
DalÃ©

[Pre-Chorus â€” Pitbull:]
Excuse me (excuse me)
And I might drink a little more than I should tonight
And I might take you home with me, if I could tonight
And, baby, Ima make you feel so good, tonight
Cause we might not get tomorrow

[Chorus:]
[Ne-Yo]
Tonight I want all of you tonight
Give me everything tonight
For all we know we might not get tomorrow
Let's do it tonight

[Nayer]
Don't care what they say
Or what games they play
Nothing is enough
'Til I have your love

[Ne-Yo]
Let's do it tonight

[Nayer]
I want you tonight, I want you to stay
I want you tonight

[Ne-Yo]
Grab somebody sexy, tell 'em hey
Give me everything tonight
Give me everything tonight
Give me everything tonight
Give me everything tonight

[Verse 2 â€” Pitbull:]
Reach for the stars
And if you don't grab 'em,
At least you'll fall on top of the world
Think about it
Cause if you slip,
I'm gon' fall on top yo girl (hahaa)
What I'm involved with
Is deeper than the masons
Baby, baby, and it ain't no secret
My family's from Cuba
But I'm an American Idol
Get money like Seacrest

Put it on my life, baby
I make you feel right, baby
Can't promise tomorrow
But, I promise tonight
DalÃ©

[Pre-Chorus â€” Pitbull:]
Excuse me (excuse me)
And I might drink a little more than I should tonight
And I might take you home with me if I could tonight
And baby Ima make you feel so good tonight
Cause we might not get tomorrow

[Chorus:]
[Ne-Yo]
Tonight I want all of you tonight
Give me everything tonight
For all we know, we might not get tomorrow
Let's do it tonight

[Nayer]
Don't care what they say
Or what games they play
Nothing is enough
'Til I have your love

[Ne-Yo]
Let's do it tonight

[Nayer]
I want you tonight, I want you to stay
I want you tonight

[Ne-Yo]
Grab somebody sexy, tell 'em hey
Give me everything tonight
Give me everything tonight
Give me everything tonight
Give me everything tonight

[Outro â€” Pitbull:]
Excuse me (excuse me)
And I might drink a little more than I should tonight
And I might take you home with me if I could tonight
And baby Ima make you feel so good tonight
Cause we might not get tomorrow"
0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,audio_features,0azC730Exh71aQlOt9Zj3y,spotify:track:0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,222160,4,EDM,This Is What You Came For,Calvin Harris,"Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh

Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh

We go fast with the game we play (Game we play, game we play)
Who knows why it's gotta be this way (Be this way, be this way)
We say nothin' more than we need (Than we need, than we need)
I say, ""Your place"" when we leave

Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh

Baby, this is what you came for
Lightning strikes every time she moves
Yeah

Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh"
0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,audio_features,0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658,4,EDM,The Nights,Avicii,"Once upon a younger year
When all our shadows disappeared
The animals inside came out to play
Went face to face with all our fears
Learned our lessons through the tears
Made memories we knew would never fade

One day my fatherâ€”he told me
""Son, don't let it slip away""
He took me in his arms, I heard him say

""When you get older
Your wild heart will live for younger days
Think of me if ever you're afraid""

He said, ""One day you'll leave this world behind
So, live a life you will remember""
My father told me when I was just a child
""These are the nights that never die""
My father told me

""When thunder clouds start pouring down
Light a fire they can't put out
Carve your name into those shining stars""
He said, ""Go venture far beyond the shores
Don't forsake this life of yours
I'll guide you home no matter where you are""

One day my fatherâ€”he told me
""Son, don't let it slip away""
When I was just a kid I heard him say

""When you get older
Your wild heart will live for younger days
Think of me if ever you're afraid""

He said, ""One day you'll leave this world behind
So, live a life you will remember""
My father told me when I was just a child
""These are the nights that never die""
My father told me

""These are the nights that never die""
My father told me
My father told me"
0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63E-05,0.135,0.163,99.988,audio_features,0lYBSQXN6rCTvUZvg9S0lU,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,205947,4,EDM,Let Me Love You,DJ Snake,"I used to believe
We were burnin' on the edge of somethin' beautiful
Somethin' beautiful
Sellin' a dream
Smoke and mirrors keep us waiting on a miracle
On a miracle

Say, go through the darkest of days
Heaven is a heartbreak away
Never let you go, never let me down
Oh, it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down

Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Oh, baby, baby

Don't fall asleep
At the wheel, we've got a million miles ahead of us
Miles ahead of us
All that we need
Is a rude awakening to know we're good enough
Know we're good enough

Say go through the darkest of days
Heaven is a heartbreak away
Never let you go, never let me down
Oh, it's been a hell of a ride
Driving the edge of a knife
Never let you go, never let me down

Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Oh, baby, baby

Never let you go, never let you go go
Never let you go, never let you go go
Never let you go, whoa
No, never let you go, whoa

Never let you go 
Never let you go go
Never let you go 
Never let you go go
Oh, no, no, no
No, never let you go
Yeah, yeah
No, never let you go

Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you
Don't you give up, nah-nah-nah
I won't give up, nah-nah-nah
Let me love you
Let me love you"
0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,audio_features,0TDLuuLlV54CkRRUOahJb4,spotify:track:0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4,245040,4,EDM,Titanium (feat. Sia),David Guetta,"You shout it out, but I can't hear a word you say
I'm talking loud, not saying much
I'm criticized, but all your bullets ricochet
Shoot me down, but I get up

I'm bulletproof, nothing to lose
Fire away, fire away
Ricochet, you take your aim
Fire away, fire away

You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium

Cut me down, but it's you who'll have further to fall
Ghost town and haunted love
Raise your voice, sticks and stones may break my bones
I'm talking loud, not saying much

I'm bulletproof, nothing to lose
Fire away, fire away
Ricochet, you take your aim
Fire away, fire away

You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium
I am titanium
I am titanium

Stone hard, machine gun
Firing at the ones who run
Stone hard, as bulletproof glass

You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium
You shoot me down, but I won't fall
I am titanium
I am titanium"
0.664,0.714,7,-6.645,0,0.111,0.0353,8.42E-06,0.0843,0.71,101.969,audio_features,0vbtURX4qv1l7besfwmnD8,spotify:track:0vbtURX4qv1l7besfwmnD8,https://api.spotify.com/v1/tracks/0vbtURX4qv1l7besfwmnD8,https://api.spotify.com/v1/audio-analysis/0vbtURX4qv1l7besfwmnD8,197933,4,EDM,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"I took a pill in Ibiza to show Avicii I was cool
And when I finally got sober, felt 10 years older
But fuck it, it was something to do
I'm living out in LA, I drive a sports car just to prove
I'm a real big baller 'cause I made a million dollars
And I spend it on girls and shoes

But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs

I-I know are sad songs
I-I know are sad songs
I-I know are sad songs
I-I know are sad songs

I'm just a singer who already blew his shot
I get along with old timers
'Cause my name's a reminder of a pop song people forgot
And I can't keep a girl, no
'Cause as soon as the sun comes up
I cut 'em all loose and work's my excuse
But the truth is I can't open up

But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs

I-I know are sad songs
I-I know are sad songs
Sad songs
I-I know are sad songs
Sad songs
I-I know are sad songs"
0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,audio_features,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4,EDM,Closer,The Chainsmokers,"Hey, I was doing just fine before I met you
I drink too much and that's an issue
But I'm OK
Hey, you tell your friends it was nice to meet them
But I hope I never see them
Again

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now you're looking pretty in a hotel bar
And I, I, I, I, I can't stop
No, I, I, I, I, I can't stop

So, baby, pull me closer
In the back seat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
We ain't ever getting older

You look as good as the day I met you
I forget just why I left you,
I was insane
Stay and play that Blink-182 song
That we beat to death in Tucson
OK

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no call
Now I'm looking pretty in a hotel bar
And I, I, I, I, I can't stop
No, I, I, I, I, I can't stop

So, baby, pull me closer
In the back seat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
We ain't ever getting older

So, baby, pull me closer
In the back seat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older

We ain't ever getting older
No, we ain't ever getting older"
0.608,0.86,5,-5.324,0,0.0554,0.0991,0,0.262,0.437,127.075,audio_features,1NpW5kyvO4XrNJ3rnfcNy3,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/tracks/1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/audio-analysis/1NpW5kyvO4XrNJ3rnfcNy3,232947,4,EDM,Wild Ones (feat. Sia),Flo Rida,"[Sia:]
Hey, I heard you are a wild one
Ooh-ooh
If I took you home, it'd be a home run
Show me how you do
I wanna shut down the club
With you
Hey, I heard you like the wild ones, wild ones, wild ones
Ooh-ooh

[Flo Rida:]
Oh, I, I like crazy, foolish, stupid
Party going wild, fist pumping music
I might lose it, glass to the roof
That's how we do's it, do's it, do's it
I don't care tonight
She don't care we like
Almost there, the right vibe
Ready to get live
Ain't no surprise
Take me so high
Jump and nose dive
Surfing the crowd
Ooh-ooh
Said I gotta be the man
I'm the head of my band
Mic check, one, two-ooh
Shut 'em down in the club while the playboy does
And they all get loose, loose after bottle
We all get bent then again tomorrow
Gotta break rules 'cause that's the motto
Club shut down: a hundred super models

[Sia (Flo Rida):]
Hey, I heard you are a wild one
Ooh-ooh
If I took you home, it'd be a home run
Show me how you do
(I wanna shut down the club)
With you
(Hey, I heard you like the wild ones, wild ones, wild ones)
Ooh-ooh

[Flo Rida:]
P-p-party rocker, fa' sho' stopper
More Chambull, number-one club popper
Got a hangover like too much vodka
Can't see me with ten binoculars
So cool
No doubt by the end of the night
Got the clothes coming off then I make that move
Somehow, some way, gotta raise the roof, roof
All black shades when the sun come through
Uh-oh, it's on like everything goes
Wild out, baby, 'til the freak, it shows
What happens to that body, it's a private show
Stays right here, pri-private show
I like 'em untamed, don't tell me high pain
Tolerance, bottoms up when the champagne
My life, call my hanna to be explain
Do you busy with the bail, we get insane

[Sia (Flo Rida):]
(Hey, I heard you are a wild one)
Ooh-ooh
(If I took you home, it'd be a home run)
Show me how you do
(I wanna shut down the club)
With you
(Hey, I heard you like the wild ones, wild ones, wild ones)
Ooh-ooh

[Sia (Flo Rida) {Both}:]
I am a wild one, break me in (Yeah)
Saddle me up and let's begin (Yeah, yeah)
I am a wild one, tame me now (Now, now)
Running with wolves, and I'm on the prowl
(Show you another side of me)
(A side you would never thought you would see)
(Tear up that body, dominate you 'til you've had enough)
{I hear you like the wild stuff}

[Sia & Flo Rida (Sia):]
Hey, I heard you were a wild one
(Ooh-ooh oh)
If I took you home, it'd be a home run
(Show me how you do)
I wanna shut down the club
(With you)
Hey, I heard you like the wild ones, wild ones, wild ones
(Ooh-ooh)

[Sia:]
I am a wild one, break me in
Saddle me up and let's begin
I am a wild one, tame me now
Running with wolves, and I'm on the prowl"
0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,audio_features,3cHyrEgdyYRjgJKSOiOtcS,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/audio-analysis/3cHyrEgdyYRjgJKSOiOtcS,204160,4,EDM,Timber,Pitbull,"[Ke$ha]
It's going down, I'm yelling timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget

Wooooah (timber), wooooah (timber), wooooah (it's going down)
Wooooah (timber), wooooah (timber), wooooah (it's going down)

[Pitbull]
The bigger they are, the harder they fall
These big-iddy boys are dig-gidy dogs
I have 'em like Miley Cyrus, clothes off
Twerking in their bras and thongs, timber
Face down, booty up, timber
That's the way we like toâ€“what?â€“timber
I'm slicker than an oil spill
She say she won't, but I bet she will, timber

Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down
Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down

[Ke$ha]
It's going down, I'm yelling timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget

It's going down (it's going down), I'm yelling timber
You better move (you better move), you better dance (you better dance)
Let's make a night you won't remember
I'll be the one you won't forget (you won't forget)

Wooooah (timber), wooooah (timber), wooooah (it's going down)
Wooooah (timber), wooooah (timber), wooooah (it's going down)

[Pitbull]
Look up in the sky, it's a bird, it's a plane
Nah, it's just me, ain't a damn thing changed
Live in hotels, swing on planes
Blessed to say, money ain't a thing
Club jumping like LeBron now, VolÃ­
Order me another round, homie
We about to clown. Why? 'Cause it's about to go down

Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down
Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down

[Ke$ha]
It's going down, I'm yelling timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget

It's going down (it's going down), I'm yelling timber
You better move, you better dance (you better dance)
Let's make a night (let's make a night) you won't remember
I'll be the one (I'll be the one) you won't forget (you won't forget)

Wooooah (timber), wooooah (timber), (hey), wooooah (it's going down) (Pitbull)
Wooooah (timber), wooooah (timber), wooooah (it's going down)

Wooooah (timber), wooooah (c'mon), wooooah (it's going down)
Wooooah (timber), wooooah (you won't forget), wooooah (timber)"
