danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,artist_name,lyrics,emotions_top3,metric_depression,metric_anxiety,metric_ocd,metric_insomnia
0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,audio_features,4KULAymBBJcPRpk1yO4dOG,spotify:track:4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG,227196,4,Country,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,"Rotgut whiskey's gonna ease my mind
Beach towel rests on the dryin' line
Do I remind you of your daddy in his '88 Ford?
Labrador hangin' out the passenger door
The sand from your hair is blowin' in my eyes
Blame it on the beach, grown men don't cry
Do you remember that beat down basement couch?
I'd sing you my love songs and you'd tell me about
How your mama ran off and pawned her ring
I remember, I remember everything
A cold shoulder at closing time
You were begging me to stay 'til the sun rose
Strained words come on out
Of a grown man's mouth when his mind's broke
Pictures and passin' time
You only smile like that when you're drinking
I wish I didn't, but I do
Remember every moment on the nights with you
You're drinkin' everything to ease your mind
But when the hell are you gonna ease mine?
You're like concrete feet in the summer heat
It burns like hell when two souls meet
No, you'll never be the man that you always swore
But I'll remember you singin' in that '88 Ford
A cold shoulder at closing time
You were begging me to stay 'til the sun rose
Strained words come on out
Of a grown man's mouth when his mind's broke
Pictures and passin' time
You only smile like that when you're drinking
I wish I didn't, but I do
Remember every moment on the nights with you
Cold shoulder at closing time
You were begging me to stay 'til the sun rose
Strained words come on out
Of a grown man's mouth when his mind's broke
Pictures and passin' time
You only smile like that when you're drinking
I wish I didn't, but I do
Remember every moment on the nights with you
Rotgut whiskey's gonna ease my mind
Beach towel rests on the dryin' line
Do I remind you of your daddy in my '88 Ford?
Labrador hangin' out the passenger door","melancholic, nostalgic, regretful",1,0,0,1
0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,audio_features,3Pbp7cUCx4d3OAkZSCoNvn,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/tracks/3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/audio-analysis/3Pbp7cUCx4d3OAkZSCoNvn,159636,4,Country,Scared To Start,Michael Marcagi,"She's wearing an old dress, walking it out
Waiting for someone to turn her around
But she won't believe you
When you fall down on your knees
She fell asleep listening to my friends
Talking on and on about how the world ends
Then she wakes up
And climbs in my front seat

And she said
""Don't you wait to try it
Are you scared to find it?
And do you wanna take my broken heart?
Are you scared to start?""

Let's lay in the dead grass, stare at the stars
Run away and live out of cars and bars
Let's just leave here
'Cause there's nothing left to see
And if that's wrong, let's make it right
And if you leave, just give me one more night
'Cause there's no one
That you'll find that's quite like me

And she said
""Don't you wait to try it
Are you scared to find it?
And do you wanna take my broken heart?
Are you scared to start?""

You don't need the paycheck, don't need the rent
You can take it all 'cause it's already spent
We can burn out, just as long as we burn bright

And she said
""Don't you wait to try it
Are you scared to find it?
And do you wanna take my broken heart?
Will you ever heal from all these scars?
Did you ever take it all so far?
Are you scared to start?""","melancholic, longing, hopeful",0,0,0,0
0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3,Country,Something in the Orange,Zach Bryan,"It'll be fine by dusk light, I'm tellin' you, baby
These things eat at your bones and drive your young mind crazy
But when you place your head between my collar and jaw
I don't know much, but there's no weight at all

And I'm damned if I do and I'm damned if I don't
'Cause if I say I miss you, I know that you won't
But I miss you in the mornings when I see the sun
Somethin' in the orange tells me we're not done

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

I need to hear you say you've been waitin' all night
There's orange dancin' in your eyes from bulb light
Your voice only trembles when you try to speak
Take me back to us dancin', this wood used to creak

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home
If you leave today, I'll just stare at the way
The orange touches all things around
The grass, trees, and dew, how I just hate you
Please turn those headlights around
Please turn those headlights around","longing, despair, confusion",1,1,0,1
0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855,4,Country,Last Night,Morgan Wallen,"Last night we let the liquor talk
I can't remember everything we said but we said it all
You told me that you wish I was somebody you never met
But baby, baby, somethin's tellin' me this ain't over yet
No way it was our last night

I kiss your lips
Make you grip the sheets with your fingertips
Last bottle of Jack we split a fifth
Just talk about life goin' sip for sip
Yeah, you, you know you love to fight
And I say shit I don't mean
But I'm still gon' wake up wantin' you and me

I know that last night we let the liquor talk
I can't remember everything we said but we said it all
You told me that you wish I was somebody you never met
But baby, baby somethin's tellin' me this ain't over yet
No way it was our last night
No way it was our last night

No way it was the last night that we break up
I see your tail lights in the dust
You call your momma, I call your bluff
In the middle of the night, pull it right back up
Yeah, my, my friends say let her go
Your friends say what the hell
I wouldn't trade your kind of love for nothin' else

Oh baby, last night we let the liquor talk
I can't remember everything we said but we said it all
You told me that you wish I was somebody you never met
But baby, baby, somethin's tellin' me this ain't over yet

No way it was our last night, we said we'd had enough
I can't remember everything we said but we said too much
I know you packed your shit and slammed the door right before you left
But baby, baby, somethin's tellin' me this ain't over yet
No way it was our last night
No way it was our last night

I know you said this time you really weren't coming back again
But baby, baby, somethin's tellin' me this ain't over yet
No way it was our last night
No way it was our last night","conflicted, passionate, regretful",0,1,0,0
0.708,0.731,3,-4.872,1,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,audio_features,0eBFgRxyVSeuT4iyrbukdn,spotify:track:0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/tracks/0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/audio-analysis/0eBFgRxyVSeuT4iyrbukdn,239533,4,Country,Where the Wild Things Are,Luke Combs,"My big brother rode an Indian Scout
It was black like his jacket
American Spirit hangin' outta his mouth
Just like our daddy
He kicked-started that bike one night and broke Mama's heart
He pointed that headlight west
Out where the wild things are

He'd call me up every couple of weeks
From South California
Talk about the desert and the Joshua Tree
And his pretty girl stories
How he bought an Airstream trailer and a J-45 guitar
Said, ""Little brother, you'd love it out here
Out where the wild things are""

Oh, it's hearts on fire and crazy dreams
Oh, the nights ignite like gasoline
And light up those streets that never sleep when the sky goes dark
Out where the wild things are

I called my brother from the back of that plane
The second I made it
We started drinkin' on the strip in LA
And then it got crazy
Ended up at a house in the hills with some Hollywood stars
Kissin' on a blonde in a backyard pool
Out where the wild things are

Oh, yeah
Couple iron horse rebels
Wild as the devil
I knew I had to move back east
Said goodbye to my brother
At the end of that summer
But I knew he'd never leave

Oh, it's hearts on fire and crazy dreams
Oh, where the nights ignite like gasoline
And oh, them Indian Scouts, man, they're built for speed
And oh, they said he hit that guardrail at half past three
Lit up those streets that never sleep when the sky goes dark
We buried him out in the wind 'neath the West Coast stars
Out where the wild things are

Out where the wild things are","nostalgic, adventurous, melancholic",0,0,0,0
0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,audio_features,0PAcdVzhPO4gq1Iym9ESnK,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/tracks/0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/audio-analysis/0PAcdVzhPO4gq1Iym9ESnK,177388,4,Country,Thinkin’ Bout Me,Morgan Wallen,"Don't know where you at
Don't know where you've been
Don't know nothing 'bout that boy you're into
Don't feel bad for you
But I feel bad for him
And all the hell you gon' be puttin' him through
Probably tell him we're a burnt out flame
Probably tell him that I ain't been on your mind
How I ain't nothing but a long gone thing
You can cuss my name, but baby, don't you lie

When you're tastin' what he's drinkin' are you thinkin' 'bout me?
When you're ridin' where he's drivin' are you missin' my street?
Every time you close your eyes, tell me, who do you see?
When you're tastin' what he's drinkin' are you thinkin' bout me?
Comin' over tonight
Wish that truck in your drive was mine
Just like you know it's supposed to be
When you're up in his bed
Am I up in your head?
Making you crazy, tell me, baby, are you thinkin' 'bout me?
Are you thinkin' 'bout? Are you thinkin' 'bout?
When you're tastin' what he's drinkin' are you thinkin' 'bout me?

Do you hide your phone?
Did you change my name?
When he wants to go to our go-to place
Do you tell him you can't?
Then go out of your way
To be somewhere, any damn where I ain't

When you're tastin' what he's drinkin' are you thinkin' 'bout me?
When you're ridin' where he's drivin' are you missin' my street?
Every time you close your eyes, tell me, who do you see?
When you're tastin' what he's drinkin' are you thinkin' 'bout me?
Comin' over tonight
Wish that truck in your drive was mine
Just like you know it's supposed to be
When you're up in his bed
Am I up in your head?
Making you crazy, tell me, baby, are you thinkin' 'bout me?
Are you thinkin' 'bout? Are you thinkin' 'bout?
When you're tastin' what he's drinkin' are you thinkin' 'bout me?

Don't know where you at
Girl, I know where you oughta be

When you're tastin' what he's drinkin' are you thinkin' 'bout me?
When you're ridin' where he's drivin' are you missin' my street?
Every time you close your eyes, tell me, who do you see?
When you're tastin' what he's drinkin' are you thinkin' 'bout me?
Comin' over tonight
Wish that truck in your drive was mine
Just like you know it's supposed to be
When you're up in his bed
Am I up in your head?
Making you crazy, tell me, baby, are you thinkin' 'bout me?
Yeah, are you thinkin' 'bout me?
Are you thinkin' 'bout me?","sad, longing, jealousy",0,1,0,0
0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,audio_features,5uU1uuyaUIBOiiUSQG7Wl3,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/tracks/5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/audio-analysis/5uU1uuyaUIBOiiUSQG7Wl3,157478,4,Country,You Proof,Morgan Wallen,"Yeah, I've been throwin' down the whiskey
I oughta get my money back
And someone said it drowns the memory
Aw, but it ain't doin' jack
Yeah, I've been sippin', I've been buzzin'
Shootin' doubles like it's nothin'
Aw, but nothin' makes you go away

I need something ""You proof""
Somethin' stronger than I'm used to
Yeah, I've been pullin' 90 to 100
Feel like nothin's gonna cut it, that's the hard truth
Yeah, I need something ""You proof""
Aw, I need something ""You proof""

Poured 'em up till they're shutting 'em down, yeah
You never ain't not around, yeah
Don't matter what time or town, I can't get you gone
Turned the bar, yeah, upside down
Just lookin' for somethin' that does it
I'd give 'em all my money

Ain't nobody sellin' nothing ""You proof""
Somethin' stronger than I'm used to
Yeah, I've been pullin' 90 to 100
Feel like nothin's gonna cut it, that's the hard truth
Yeah, I need something ""You proof""
Aw, I need something ""You proof""

Hey, I've been mixing liquors tryin' to get you gone
Aw, but I must be doin' somethin' wrong
'Cause I've been working hard to fade your memory
Baby, but the only thing faded is me

I need something ""You proof""
Somethin' stronger than I'm used to
Yeah, I've been pullin' 90 to 100
Feel like nothin's gonna cut it, that's the hard truth
I need something ""You proof""
Poured 'em up till they're shutting 'em down, yeah
Aw, I need something ""You proof""
You never ain't not around, yeah

Don't matter what time or town, I can't get you gone
Turned the bar, yeah, upside down
Just lookin' for somethin' that does it
I'd give up all my money
Ain't nobody sellin' nothing ""You proof""","sad, desperate, longing",1,1,0,0
0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,audio_features,2Dct3GykKZ58hpWRFfe2Qd,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,https://api.spotify.com/v1/tracks/2Dct3GykKZ58hpWRFfe2Qd,https://api.spotify.com/v1/audio-analysis/2Dct3GykKZ58hpWRFfe2Qd,171693,4,Country,Heading South,Zach Bryan,"He was a boy who was a dreamer and he flew so high and proud
In a world full of people out to cut his young ass down
No one ever understood a single word he said
And they cast him to the wolves when he wasn't well and fed

But boys we've got a riser, a riser in our midst
And he will get the last laugh if it's the last thing he did
And he used to roll around in that red dirt mud
But now he's skipping town and that dreamer's out for blood

So don't stop goin', goin' south
'Cause they'll let you play your music real damn loud
Don't stop headin', headin' south
'Cause they will understand the words that are pouring from your mouth

Then that boy, he called his daddy to tell him what he did
As the masses scream the lyrics of the messed up kid
And then he told that old man he was never coming back
To be cut down again in a town like that

Then he surely came to learn people come to watch you fall
But he's out to make a name and a fool out of them all
They'll never understand, that boy and his kind
'Cause all they comprehend is a fuckin' dollar sign

So don't stop goin', goin' south
'Cause they'll let you play your music real damn loud
Don't stop headin', headin' south
'Cause they will understand the words that are pourin' from your mouth

Don't stop goin', goin' south
'Cause they'll let you play your music real damn loud
Don't stop headin', headin' south
They will understand the words that are pourin' from your mouth","defiant, determined, rebellious",0,1,0,0
0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4,Country,Fast Car,Luke Combs,"You got a fast car
And I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere
Any place is better
Starting from zero, got nothing to lose
Maybe we'll make something
Me, myself, I got nothing to prove

You got a fast car
And I got a plan to get us out of here
I been working at the convenience store
Managed to save just a little bit of money
Won't have to drive too far
Just across the border and into the city
And you and I can both get jobs
Finally see what it means to be living

See, my old man's got a problem
He live with the bottle, that's the way it is
He said his body's too old for working
His body's too young to look like his
So Mama went off and left him
She wanted more from life than he could give
I said, ""Somebody's gotta take care of him""
So I quit school and that's what I did

You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way

So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I-I
Had a feeling that I belonged
I-I
Had a feeling I could be someone
Be someone, be someone

You got a fast car
We go cruising, entertain ourselves
You still ain't got a job
So I work in the market as a checkout girl
I know things will get better
You'll find work and I'll get promoted
And we'll move out of the shelter
Buy a bigger house, live in the suburbs

So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I-I
Had a feeling that I belonged
I-I
Had a feeling I could be someone
Be someone, be someone

You got a fast car
I got a job that pays all our bills
You stay out drinking late at the bar
See more of your friends than you do of your kids
I'd always hoped for better
Thought maybe together you and me'd find it
I got no plans, I ain't going nowhere
Take your fast car and keep on driving

So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I-I
Had a feeling that I belonged
I-I
Had a feeling I could be someone
Be someone, be someone

You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way","hopeful, determined, nostalgic",0,0,0,0
0.741,0.719,9,-5.192,1,0.0302,0.113,0.0,0.166,0.657,81.018,audio_features,2FQrifJ1N335Ljm3TjTVVf,spotify:track:2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf,174880,4,Country,A Bar Song (Tipsy),Shaboozey,"My baby want a Birkin, she's been tellin' me all night long
Gasoline and groceries, the list goes on and on
This 9 to 5 ain't workin', why the hell do I work so hard?
I can't worry 'bout my problems, I can't take 'em when I'm gone, uh
One, here comes the two to the three to the four
Tell 'em bring another out, we need plenty more
Two steppin' on the table, she don't need a dancefloor
Oh my, good Lord
Someone pour me up a double shot of whiskey
They know me and Jack Daniels got a history
There's a party downtown near Fifth Street
Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy
I've been Boozey since I've left, I ain't changin' for a check
Tell my ma I ain't forget (oh, Lord)
Woke up drunk at 10 am, we gon' do this shit again
Tell your girl to bring a friend (oh, Lord)
One, here comes the two to the three to the four
Tell 'em bring another out, we need plenty more
Two steppin' on the table, she don't need a dancefloor
Oh my, good Lord
Someone pour me up a double shot of whiskey (double shot of whiskey)
They know me and Jack Daniels got a history (we go way back)
There's a party downtown near Fifth Street (okay, let's go)
Everybody at the bar gettin' tipsy (at the bar gettin' tipsy)
Everybody at the bar gettin' tipsy (at the bar gettin' tipsy)
Everybody at the bar gettin' tipsy
One, here comes the two to the three to the four
When it's last call and they kick us out the door
It's gettin' kind of late but the ladies want some more
Oh my, good Lord
Someone pour me up a double shot of whiskey (double shot of whiskey)
They know me and Jack Daniels got a history (way back)
There's a party downtown near Fifth Street (come on)
Everybody at the bar gettin' tipsy (ooh)
Someone pour me up a double shot of whiskey (double shot of whiskey)
They know me and Jack Daniels got a history (me and J.D.)
At the bottom of a bottle gon' miss me (they gon' miss me)
Everybody at the bar gettin' tipsy (bar gettin' tipsy)
Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy
Fuck, I messed up bro, they kicked me out the bar","carefree, intoxicated, rebellious",0,0,0,1
